Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
F162A	6531-29	Protein	20	2.61796168883574	0.09001817303538878	419.3086932599614	73.86485830759456
DNS2B	6533-20	Protein	20	2.2583398129157572	0.12088350574638884	185.19514246598703	52.30889311419406
LAML2	6536-54	Protein	20	3.421744715236207	0.13734564748875977	2666.340866654955	893.2670201602006
K2013	6538-90	Protein	20	2.7020150414274235	0.09796108796799108	511.19858848455556	115.4873138578468
PRRP	6543-182	Protein	20	2.949838407514903	0.11964990377394513	893.9301135242002	258.9622462454137
NELL1	6544-33	Protein	20	3.2671824676845405	0.14615051073820085	1864.96190098342	673.9011061088372
PRIO	6545-58	Protein	20	2.9726523622149044	0.15920928907812448	954.7624773845316	376.7389906941143
DKK2	6546-41	Protein	20	2.6997545235219595	0.13793361738430798	523.1117881053309	165.32953176143394
TM11D	6547-83	Protein	20	2.528315660180377	0.128041742596382	345.30643743201523	103.96693461828824
VTM2L	6549-60	Protein	20	2.4657326468360585	0.09410479721817855	294.4784205905642	64.85248529544216
ICAM4	6550-4	Protein	0.5	3.013245142056071	0.1714773801775351	1029.5515951202003	458.1462380005785
Vaspin	6551-94	Protein	20	3.3765199937216046	0.17464183018031298	2440.9413978306484	1065.5630340775856
CCD19	6553-68	Protein	20	2.522791701653264	0.11951774024762041	344.36917218972985	93.72831099728714
Stomatin-like protein 2	6555-58	Protein	0.5	2.9554593954807014	0.10773503161821507	908.9732127100532	234.24472260495594
ENPP5	6556-5	Protein	0.5	3.062492452797524	0.1529330921124996	1153.8015936755219	446.670048614874
LRC15	6557-50	Protein	0.5	3.0422369672657688	0.1574382758942019	1119.9191964532997	436.4147623298957
COL10	6558-5	Protein	20	3.0569357828068915	0.146786067523337	1151.4952564830592	416.8179143274717
Ig K chain V-I region HK102-like	6561-77	Protein	0.5	3.230475838151089	0.17570768926878233	1709.7949266556864	775.7019123413805
HSP 70	6563-78	Protein	20	3.259482416132393	0.1258990534706299	1840.569760001435	554.5073781254258
CDCP1	6565-68	Protein	20	2.8260547164442253	0.13186746749805467	692.4939766568006	211.52519668183302
HECA2	6568-18	Protein	20	3.0248331897665848	0.13082771675221783	1082.6392760425072	334.6265549150128
CODA1	6570-1	Protein	20	3.1610822229784565	0.10982998923027587	1473.4602245930348	376.874353258167
CQ078	6571-75	Protein	20	2.8465401003344644	0.09660519766675857	720.8823920037952	156.00907038982345
