SeqId	Target	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD	SeqId
7018-10	TSR3	Protein	20.0	2.8704034280439545	0.11555654983222775	742.0	725.4582204807508	7018-10
7019-13	Semaphorin-7A	Protein	20.0	3.2928871054001094	0.111222334712152	1962.85	735.6496412505483	7019-13
7020-13	CHST5	Protein	20.0	2.3772150702614456	0.08832822661575357	238.35	513.9671449875591	7020-13
7034-4	Fc_MOUSE	Protein	20.0	3.631641526360454	0.1705880379705307	4281.950000000001	3144.5945320959377	7034-4
7038-45	SIA8D	Protein	20.0	3.0464365946302836	0.12776362552599	1112.85	1353.707016124979	7038-45
7045-4	BNIP3	Protein	20.0	2.7705206046554642	0.10058706248555996	589.55	4824.232389214595	7045-4
7046-6	CT173	Protein	20.0	3.0651126775308817	0.11313526958067688	1161.75	449.9654085568633	7046-6
7048-4	CEA19	Protein	20.0	2.851074650023296	0.10208176999170741	709.7	272.7351345057922	7048-4
7049-2	ADAM 23	Protein	20.0	3.3290417446420353	0.1199393796969541	2133.25	882.6916026531349	7049-2
7050-5	NEGR1	Protein	0.5	2.738621998973161	0.06080229433025199	547.8	96.9821775690816	7050-5
7054-87	CLC2D	Protein	20.0	3.433521821520473	0.10705987142297997	2713.45	1620.9458151718893	7054-87
7056-16	4F2	Protein	20.0	2.706844992122769	0.09265371516491352	509.15	276.3806488404864	7056-16
7057-18	Fc_MOUSE	Protein	0.5	3.2313421349107356	0.1871421727444226	1703.5	1427.9780491613103	7057-18
7059-14	LIRA6	Protein	20.0	3.4471151637968944	0.35103484760169673	2799.75	2665.573522770199	7059-14
7060-2	ERO1A	Protein	20.0	3.550607391934146	0.0979675798403878	3553.1	1996.8003287467268	7060-2
7064-2	VAMP8	Protein	20.0	2.7867510510960907	0.08579572453789287	612.0	187.46350487334982	7064-2
7065-1	G6B	Protein	20.0	4.018366025181633	0.3323481300128195	10432.0	15481.963153243247	7065-1
7066-199	F209B	Protein	20.0	2.4013141488927126	0.09158417209876026	251.95	199.85791990090542	7066-199
7069-9	TSNA1	Protein	20.0	2.796017547156678	0.09545016151525655	625.2	162.05684440889627	7069-9
7070-25	KELL	Protein	20.0	2.6183619311098782	0.06542297193452887	415.3	175.4763271339495	7070-25
7071-23	MA1B1	Protein	20.0	3.4723760765684286	0.07394104602589431	2967.3999999999996	607.7468857483431	7071-23
7073-69	CV015	Protein	20.0	2.4143883188788173	0.08284598501486039	259.65	139.5410257929736	7073-69
7076-17	ECEL1	Protein	20.0	2.799753769827473	0.10813501953481068	630.6	782.8689116347721	7076-17
7077-9	Fc_MOUSE	Protein	20.0	2.6356847160480923	0.09182775881070959	432.2	365.8617162418132	7077-9
7081-2	BT3A1	Protein	20.0	2.843044803959385	0.15860741832185338	696.7	532.347727815914	7081-2
7082-2	B3GN6	Protein	20.0	3.0832693739432306	0.09190522437835469	1211.35	386.3190274079248	7082-2
7083-74	MATN4	Protein	20.0	2.9170062010845843	0.1380469737456175	826.05	1758.2614097375144	7083-74
